subj,time_pressure,model,ll,mape,mae,mse
s201,50,gcm,6.67544556597468,0.316435916338981,0.144971059419157,0.0297625225969211
s201,50,gcm_disc,-4.95171563848602,0.631843015002055,0.26489272355201,0.0903269170492207
s201,50,gcm_disc_unidim,-9.5571002474997,0.779017494468256,0.304728213766878,0.134381991177588
s201,50,gcm_unidim,-7.31747940304847,0.621450880660771,0.241918869268568,0.111715976866847
s201,none,gcm,7.18336071338075,0.544965447701671,0.147270912602608,0.0320814827079093
s201,none,gcm_disc,2.67422402991273,0.834845903552467,0.169192659248549,0.0463237036272736
s201,none,gcm_disc_unidim,-9.81286545790823,1.271730286542,0.268443772794881,0.13000146043205
s201,none,gcm_unidim,-11.3137685565425,1.24496811113351,0.311365343769897,0.147260664976241
s202,50,gcm,1.18882521847245,0.60923362327596,0.176070711281395,0.050742623400004
s202,50,gcm_disc,-6.39824350191771,1.17526183703937,0.280566581011867,0.10354975550538
s202,50,gcm_disc_unidim,-12.016367142598,1.5113826071304,0.341776024739171,0.172408849385564
s202,50,gcm_unidim,-11.7601291738258,1.18562308276664,0.304114025352499,0.16633696103952
s202,none,gcm,16.8559899953102,0.242355156153664,0.0903344995199063,0.0129720909365377
s202,none,gcm_disc,1.77177073759753,0.616104621885583,0.199705699172887,0.0503495416977208
s202,none,gcm_disc_unidim,-9.50758981277275,0.889340047450607,0.270412829991236,0.128375543172439
s202,none,gcm_unidim,-9.2383730451624,0.789033514663134,0.279574994937178,0.127117692876409
s203,50,gcm,1.84521914894035,0.579173718525292,0.137700872294447,0.0366859249896003
s203,50,gcm_disc,-7.39993869713521,1.25456041723944,0.290520224446426,0.110814185457113
s203,50,gcm_disc_unidim,-10.7145934734919,1.34410175085718,0.310816009797767,0.14367365592135
s203,50,gcm_unidim,-7.13929361295587,0.868566599778365,0.223410258188519,0.106918467948735
s203,none,gcm,0.612532233492677,0.612854252004182,0.185774186307703,0.0527821412153262
s203,none,gcm_disc,0.265056669279517,0.697785103901368,0.193340620596392,0.0576534267504212
s203,none,gcm_disc_unidim,-11.4681722215421,1.07787381378572,0.298051011085562,0.150076369710055
s203,none,gcm_unidim,-12.6407753221097,1.13224151261793,0.326113787892365,0.169041860562129
s204,50,gcm,-1.35553530996068,2.39225345596859,0.197593973216741,0.0616407865959548
